phd_affiliation_district,Mobility,n,hindex_mean,hindex_std,hindex_se
Europe,Other-Other,6172,2.3091380427738173,2.6028095403903118,0.03313061
Europe,TOP-Other,241,2.029045643153527,2.6573770593214694,0.17117670416074782
Europe,Other-TOP,476,2.264705882352941,2.6944961676579213,0.1235020293570146
Europe,TOP-TOP,301,2.4817275747508307,3.008404616880919,0.17340155937473417
North America,Other-Other,6909,1.7556809958025763,2.431385852,0.029251375234026548
North America,TOP-Other,359,2.2590529247910864,2.9211748985115444,0.15417371445080935
North America,Other-TOP,885,2.169491525423729,3.104983636622754,0.10437288315764055
North America,TOP-TOP,595,2.5428571428571427,3.2186475668659598,0.13195168557928208
Other,Other-Other,3685,2.308548168249661,2.7021014026897747,0.044512593
Other,TOP-Other,106,3.4622641509433962,4.124663399373478,0.40062272467939136
Other,Other-TOP,313,2.4536741214057507,2.980480448041066,0.1684667153742657
Other,TOP-TOP,67,3.417910447761194,3.861814825886224,0.4717957714854616
